Roboflow Version Name,Description,Tile Size,Image Size,YOLO Trained Image Size (long side),mAP50 (Box),mAP50-95 (Box),Precision (Box),Recall (Box),F1 (Box),AP pole,Precision pole,Recall pole,F1 pole,Frames Per Second,SAHI mAP50 (Box),SAHI mAP50-95 (Box),SAHI Precision (Box),SAHI Recall (Box),SAHI F1 (Box),SAHI AP pole,SAHI Precision pole,SAHI Recall pole,SAHI F1 pole,SAHI Frames Per Second
vineyard_object_detection_paper/58,RH Aug 2024 Mar 2025 July 2025 Full Resolution 39 Feet,n/a,4056x3040,1536x1536,0.6330624400728039,0.33536156682521245,0.6330624400728039,0.7044025157232704,0.6668298462172,0.6330624400728039,0.6330624400728039,0.7044025157232704,0.6668298462172,6.72354029963045,0.6263902818472356,0.3123082279498647,0.6263902818472356,0.6855345911949685,0.6546292621145109,0.6263902818472356,0.6263902818472356,0.6855345911949685,0.6546292621145109,0.5342666430611458
vineyard_object_detection_paper/59,RH Aug 2024 Mar 2025 July 2025 Full Resolution 65 Feet,n/a,4056x3040,1024x1024,0.6672059587074729,0.3011823963864257,0.6672059587074729,0.7202680067001676,0.6927223399042518,0.6672059587074729,0.6672059587074729,0.7202680067001676,0.6927223399042518,8.727459204968332,0.6694782179486429,0.2986524703353508,0.6694782179486429,0.7135678391959799,0.6908202700879892,0.6694782179486429,0.6694782179486429,0.7135678391959799,0.6908202700879892,0.644474852229456
vineyard_object_detection_paper/60,RH Aug 2024 Mar 2025 July 2025 Full Resolution 100 Feet,n/a,4056x3040,1024x1024,0.5914457002412906,0.26729716395777875,0.5914457002412906,0.6444444444444445,0.616808698329696,0.5914457002412906,0.5914457002412906,0.6444444444444445,0.616808698329696,7.039212542517801,0.5666315560685125,0.2595291477868853,0.5666315560685125,0.6370370370370371,0.5997752033028545,0.5666315560685125,0.5666315560685125,0.6370370370370371,0.5997752033028545,0.6432337243272267
vineyard_object_detection_paper/61,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 39 Feet,2x2,2028x1520,640x640,0.6098494161144051,0.3172645778622357,0.6098494161144051,0.6717325227963525,0.6392969101305946,0.6098494161144051,0.6098494161144051,0.6717325227963525,0.6392969101305946,26.974866090533776,0.5781145569918164,0.29636501671834753,0.5781145569918164,0.6413373860182371,0.6080870688270591,0.5781145569918164,0.5781145569918164,0.6413373860182371,0.6080870688270591,2.175138170502705
vineyard_object_detection_paper/62,RH Aug 2024 Mar 2025 July 2025 4x4 Tile 39 Feet,4x4,1014x760,1536x1536,0.38573485435007937,0.1881904110822067,0.38573485435007937,0.45144356955380577,0.41601052912254605,0.38573485435007937,0.38573485435007937,0.45144356955380577,0.41601052912254605,30.21416836133819,0.36026302942299715,0.1719978263973251,0.36026302942299715,0.4120734908136483,0.3844304658802038,0.36026302942299715,0.36026302942299715,0.4120734908136483,0.3844304658802038,23.086386437700817
vineyard_object_detection_paper/63,RH Aug 2024 Mar 2025 July 2025 6x6 Tile 39 Feet,6x6,676x506,1024x1024,0.4270700402775399,0.21155569309863326,0.4270700402775399,0.510158013544018,0.46493103253530044,0.4270700402775399,0.4270700402775399,0.510158013544018,0.46493103253530044,53.31961690859132,0.4187990006457182,0.20058972570757763,0.4187990006457182,0.4717832957110609,0.44371502459326123,0.4187990006457182,0.4187990006457182,0.4717832957110609,0.44371502459326123,43.54885964748328
vineyard_object_detection_paper/64,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 65 Feet,2x2,2028x1520,1024x1024,0.7121692963812646,0.32361053148635416,0.7121692963812646,0.7508305647840532,0.730989098793064,0.7121692963812646,0.7121692963812646,0.7508305647840532,0.730989098793064,24.689123613783373,0.688395507064196,0.3011727869046083,0.688395507064196,0.7275747508305648,0.7074430931477067,0.688395507064196,0.688395507064196,0.7275747508305648,0.7074430931477067,2.163436249616132
vineyard_object_detection_paper/65,RH Aug 2024 Mar 2025 July 2025 4x4 Tile 65 Feet,4x4,1014x760,640x640,0.6392072119481658,0.3236764806490221,0.6392072119481658,0.6805970149253732,0.659253109684694,0.6392072119481658,0.6392072119481658,0.6805970149253732,0.659253109684694,46.71351871127687,0.6369028955305154,0.29731905046319407,0.6369028955305154,0.6761194029850747,0.655925502517952,0.6369028955305154,0.6369028955305154,0.6761194029850747,0.655925502517952,6.300298716942424
vineyard_object_detection_paper/66,RH Aug 2024 Mar 2025 July 2025 6x6 Tile 65 Feet,6x6,676x506,1536x1536,0.5619081639539675,0.2527142931333542,0.5619081639539675,0.609375,0.584679773341139,0.5619081639539675,0.5619081639539675,0.609375,0.584679773341139,34.07796183405476,0.5372244355652722,0.23142802092456893,0.5372244355652722,0.5729166666666666,0.5544967792961375,0.5372244355652722,0.5372244355652722,0.5729166666666666,0.5544967792961375,29.84207184485071
vineyard_object_detection_paper/67,RH Aug 2024 Mar 2025 July 2025 2x2 Tile 100 Feet,2x2,2028x1520,1024x1024,0.5032389076888694,0.23180385107300583,0.5032389076888694,0.566350710900474,0.5329328336194246,0.5032389076888694,0.5032389076888694,0.566350710900474,0.5329328336194246,21.40230924758697,0.5074150612377333,0.23014589672941402,0.5074150612377333,0.5639810426540285,0.5342048085777343,0.5074150612377333,0.5074150612377333,0.5639810426540285,0.5342048085777343,2.1898891711320294
vineyard_object_detection_paper/68,RH Aug 2024 Mar 2025 July 2025 4x4 Tile 100 Feet,4x4,1014x760,1024x1024,0.3950958077274956,0.17497742907441838,0.3950958077274956,0.4318181818181818,0.41264159391137956,0.3950958077274956,0.3950958077274956,0.4318181818181818,0.41264159391137956,41.769406318326645,0.3887534373033331,0.16951659269316782,0.3887534373033331,0.42045454545454547,0.40398303837339067,0.3887534373033331,0.3887534373033331,0.42045454545454547,0.40398303837339067,31.28626633512474
vineyard_object_detection_paper/69,RH Aug 2024 Mar 2025 July 2025 6x6 Tile 100 Feet,6x6,676x506,640x640,0.3181369272571833,0.14141841636885166,0.3181369272571833,0.37258687258687256,0.34321574790940323,0.3181369272571833,0.3181369272571833,0.37258687258687256,0.34321574790940323,53.15256693839529,0.31456646961215484,0.12945730088290555,0.31456646961215484,0.3667953667953668,0.338679149425987,0.31456646961215484,0.31456646961215484,0.3667953667953668,0.338679149425987,12.445837692269903
